path,label,image_score,anchor_score,reconstruction_score,bottleneck_divergence,pixel_aggregated_score,patch_divergence_aggregated,fused_score
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_96.png,0,0.35807037353515625,0.35807037353515625,0.24109262228012085,0.8795209527015686,3.4492948055267334,0.8714448809623718,0.23391217171549317
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_97.png,0,0.3371959328651428,0.3371959328651428,0.2555326223373413,0.7419569492340088,3.7526652812957764,0.6594089865684509,0.18076340293542337
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_98.png,0,0.34276238083839417,0.34276238083839417,0.22520403563976288,0.9232934713363647,3.3092639446258545,0.7711794972419739,0.19802844676943657
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00000_99.png,0,0.3477371335029602,0.3477371335029602,0.24505773186683655,1.0089752674102783,3.5922977924346924,0.8000620603561401,0.21562226937907236
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_60.png,0,0.4244670569896698,0.4244670569896698,0.23767338693141937,0.8387651443481445,3.366203546524048,1.0042850971221924,0.2956765701539816
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_61.png,0,0.4618472456932068,0.4618472456932068,0.23501785099506378,0.8767223358154297,3.396178722381592,1.151569128036499,0.35041936365536236
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_62.png,0,0.4152623116970062,0.4152623116970062,0.2878096103668213,0.8960421681404114,4.1541876792907715,1.061135172843933,0.32790984537558904
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00011_63.png,0,0.42276448011398315,0.42276448011398315,0.26126086711883545,0.6354128122329712,3.7608649730682373,0.8682047128677368,0.27289237748035455
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_60.png,0,0.4767196476459503,0.4767196476459503,0.39604949951171875,0.8144400119781494,5.804677963256836,0.6957550048828125,0.3151833482072123
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_61.png,0,0.4621870815753937,0.4621870815753937,0.4127124547958374,0.7263350486755371,6.1636528968811035,0.6657541394233704,0.31125039222230344
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_62.png,0,0.49510741233825684,0.49510741233825684,0.3931646943092346,0.7873121500015259,5.867332935333252,0.8768520355224609,0.3701077915547739
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00018_63.png,0,0.5016490817070007,0.5016490817070007,0.4052940607070923,0.6795100569725037,5.804861068725586,0.7138585448265076,0.33149331466084553
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_94.png,0,0.34899041056632996,0.34899041056632996,0.2783282697200775,0.8738634586334229,3.678277015686035,0.6395963430404663,0.1793834927392548
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_95.png,0,0.38698211312294006,0.38698211312294006,0.30347922444343567,0.7730358242988586,3.9783124923706055,0.5666089653968811,0.18823097329455257
d:\Documents\FMI\Disertatie\medical-ad\data\BraTS2021_slice\test\good\img\00020_96.png,0,0.34529176354408264,0.34529176354408264,0.26206836104393005,0.8172661066055298,3.4944655895233154,0.5389206409454346,0.14766622005741842
